kallen@nichols.com,FyA1(iGqs^,NULL,Katie,NULL,Allen,NULL,1972-10-24,female,female,she/her,Jewish,20/80,hard of hearing,cane,true,2024-01-27,NULL,303503306,56.66,199.94,"{""Polio"": ""2017-07-21"", ""Tetanus, Diphtheria, Pertussis"": ""2012-07-19"", ""HPV"": ""2007-03-21"", ""COVID-19"": ""2015-08-25"", ""Hepatitis A"": ""1994-08-27"", ""Pneumococcal"": ""2000-09-01""}","{""Mango"": [""Fainting"", ""Abdominal pain"", ""Anaphylaxis"", ""Loss of consciousness""]}",{},"{""Arthritis"": [""father"", ""grandmother""], ""Thyroid disease"": [""sister"", ""mother""], ""Kidney disease"": [""grandmother""], ""Rheumatoid arthritis"": [""sister"", ""grandfather""]}",2024-06-13 20:06:34.841536-05:00,"{""Dr. Jessica Mcbride"": [7474075547, 2486185172]}",NULL,O-,5351725376,"[""Depression""]",Ali-Rivers,"56774 Parker Valleys
North Laura, UT 50283",8186453650
jphillips@charles-graves.info,77WNb&7G%#,NULL,John,NULL,Phillips,NULL,1961-06-14,female,female,she/her,Christian,20/100,deaf,able,false,2024-05-29,NULL,187579575,54.47,136.12,"{""Influenza"": ""2004-11-18"", ""Hepatitis B"": ""2007-08-09"", ""Polio"": ""1990-02-02"", ""Tetanus, Diphtheria, Pertussis"": ""1983-02-12"", ""HPV"": ""1965-04-24"", ""COVID-19"": ""1982-09-17"", ""Hepatitis A"": ""2011-03-12"", ""Pneumococcal"": ""2012-12-20"", ""Zoster"": ""1973-12-11"", ""Measles, Mumps, Rubella"": ""2010-05-11"", ""Varicella"": ""2001-05-12""}",{},"{""Laminectomy"": ""2006-04-29""}","{""COPD"": [""father"", ""uncle""], ""Kidney disease"": [""uncle""]}",2024-05-24 05:57:38.402814-05:00,"{""Mark Holloway"": [6536857668, 9635980372]}",NULL,AB-,7958418446,"[""Hepatitis"", ""Asthma"", ""High cholesterol"", ""Epilepsy"", ""Liver disease""]",Melton PLC,"481 Warner Center Suite 590
Lisastad, NJ 47900",6235078391
rjohnson@hansen.com,bp+S4Fro+4,NULL,Renee,NULL,Johnson,NULL,1951-08-21,female,female,she/her,Muslim,blind,hearing,walker,false,2024-06-05,NULL,467019766,65.65,129.72,"{""Influenza"": ""2024-01-25"", ""Hepatitis B"": ""2011-10-18"", ""Polio"": ""1990-08-30"", ""HPV"": ""2016-03-24"", ""Tetanus, Diphtheria, Pertussis"": ""1980-10-05"", ""Hepatitis A"": ""1969-05-24"", ""Varicella"": ""1985-01-25""}","{""Latex"": [""Vomiting"", ""Abdominal pain"", ""Anaphylaxis"", ""Dizziness""], ""Dairy"": [""Low blood pressure"", ""Itching"", ""Coughing"", ""Diarrhea""]}","{""Hernia repair"": ""1980-07-30"", ""Appendectomy"": ""2014-09-25""}","{""Diabetes"": [""grandmother""]}",2024-03-23 13:53:43.273052-05:00,"{""Casey Mcknight"": [8400204669, 9976255630]}",NULL,O+,1754899727,"[""Schizophrenia"", ""Hepatitis"", ""ADHD"", ""Stroke""]",Smith Group,"458 Hull Heights Apt. 794
Abbottport, ME 60323",7930709269
jreynolds@singh-stephens.com,v(3ArMYhFO,NULL,Jennifer,NULL,Reynolds,NULL,2004-07-29,female,female,she/her,Christian,20/80,deaf,able,false,2024-05-26,NULL,309474678,78.48,130.39,"{""Influenza"": ""2013-07-11"", ""Hepatitis B"": ""2010-06-03"", ""Polio"": ""2019-11-06"", ""COVID-19"": ""2005-09-20"", ""Hepatitis A"": ""2023-07-07"", ""Pneumococcal"": ""2009-12-31""}","{""Shellfish"": [""Wheezing"", ""Rash"", ""Diarrhea"", ""Swelling""]}","{""Laminectomy"": ""2023-01-14"", ""Tonsillectomy"": ""2024-01-03"", ""ACL repair"": ""2021-06-27""}","{""Osteoporosis"": [""mother""]}",2024-01-30 18:12:46.679820-06:00,"{""Charles Greene"": [6532549861], ""Matthew Lara"": [3314787692, 7084403452]}",NULL,A+,9333535055,"[""Epilepsy""]","Gonzalez, Martinez and Blair","8646 Kim Haven
Lambertmouth, KY 88620",5401890643
grodriguez@huang-sanchez.com,9$5HlCX)QN,NULL,Gary,NULL,Rodriguez,NULL,1960-03-24,male,male,he/him,Jewish,20/60,hearing,walker,false,NULL,NULL,588528396,77.19,259.89,"{""Influenza"": ""2015-11-07"", ""Hepatitis B"": ""2009-10-11"", ""Polio"": ""2005-11-11"", ""COVID-19"": ""2011-04-17"", ""Pneumococcal"": ""2024-02-12"", ""Zoster"": ""2001-11-06"", ""Measles, Mumps, Rubella"": ""1990-04-06""}","{""Sulfites"": [""Low blood pressure"", ""Diarrhea"", ""Nausea"", ""Swelling""], ""Gluten"": [""Loss of consciousness"", ""Dizziness"", ""Shortness of breath"", ""Swelling""]}","{""Coronary artery bypass"": ""2011-02-05"", ""Appendectomy"": ""2001-10-23""}","{""Rheumatoid arthritis"": [""brother"", ""sister"", ""mother""]}",2024-04-07 17:11:37.278475-05:00,"{""Robert Jackson"": [5666065216], ""Wanda Garcia"": [6330625187, 9914921526]}",NULL,A+,7205688438,"[""Epilepsy"", ""Lung disease"", ""Stroke""]",Wyatt Group,"7937 Massey Brooks Suite 137
Christopherchester, ID 13264",9824346596
vadams@davis.com,v_7zu5hj!H,NULL,Vincent,NULL,Adams,NULL,1942-07-28,male,male,he/him,Atheist,20/60,hearing,cane,false,NULL,NULL,752744249,67.13,221.53,"{""Hepatitis B"": ""1987-05-14"", ""Polio"": ""2016-04-12"", ""Tetanus, Diphtheria, Pertussis"": ""1949-06-06"", ""HPV"": ""1967-09-17"", ""COVID-19"": ""1948-01-31"", ""Hepatitis A"": ""1961-12-06"", ""Pneumococcal"": ""2013-04-05"", ""Zoster"": ""2014-12-18"", ""Varicella"": ""1978-04-04""}","{""Kiwi"": [""Low blood pressure"", ""Hives"", ""Wheezing""], ""Fish"": [""Vomiting"", ""Fainting"", ""Hives""]}","{""Adenoidectomy"": ""1998-07-05""}",{},2024-02-17 02:15:59.336141-06:00,"{""Rhonda Leach"": [8614887017], ""Lauren Conner"": [1576079255, 8326801591]}",NULL,B-,1917517808,"[""Multiple sclerosis"", ""Diabetes"", ""Cancer"", ""Thyroid disease""]","Price, Mckenzie and Phillips","536 Davidson Hollow Apt. 556
Floresberg, VA 66733",1936642144
mkim@jones-daniel.com,uOq4SOml&H,NULL,Michelle,NULL,Kim,NULL,2006-05-22,male,male,he/him,Hindu,20/60,deaf,able,false,NULL,NULL,569930946,56.4,241.2,"{""Influenza"": ""2017-05-18"", ""Polio"": ""2015-06-30"", ""HPV"": ""2014-08-20"", ""Hepatitis A"": ""2020-05-17"", ""Pneumococcal"": ""2013-02-08""}","{""Latex"": [""Itching"", ""Dizziness""]}","{""Wisdom Teeth Removal"": ""2022-01-24"", ""Cholecystectomy"": ""2022-06-10""}","{""Celiac disease"": [""brother"", ""father""]}",2024-05-23 16:40:08.312007-05:00,"{""Jennifer Brown"": [8418218297, 7735362085], ""Jessica Poole"": [1071092746, 8779411045]}",NULL,A+,4058811962,"[""COPD"", ""Ulcerative colitis"", ""Bipolar disorder""]",Silva-Washington,"2099 Lisa Station
Port Stevenchester, MO 81007",4183007815
dhood@robinson-espinoza.com,BZk&3BSeMX,NULL,Dawn,NULL,Hood,NULL,1952-09-06,female,female,she/her,Agnostic,20/40,hearing,walker,false,2024-05-29,NULL,203337948,69.4,142.69,"{""Influenza"": ""2021-12-13"", ""Polio"": ""1967-03-26"", ""HPV"": ""1967-08-27"", ""Hepatitis A"": ""1980-02-15"", ""Measles, Mumps, Rubella"": ""2018-01-17"", ""Varicella"": ""2000-12-21""}",{},"{""Appendectomy"": ""1977-11-17"", ""Cataract surgery"": ""2016-10-31"", ""Adenoidectomy"": ""1986-01-09"", ""Lung transplant"": ""2021-06-11""}","{""Depression"": [""cousin"", ""grandfather""], ""Cancer"": [""grandfather""], ""Kidney disease"": [""grandmother"", ""mother"", ""uncle""]}",2024-01-08 17:06:32.971360-06:00,"{""Eric Jacobs"": [3609609704]}",NULL,A+,5599729718,"[""Celiac disease"", ""Epilepsy"", ""Crohn's disease""]",Rodriguez-Brooks,"PSC 0334, Box 1414
APO AP 18566",4528931994
kwilliams@brown.biz,Jh+0rMJgX(,NULL,Kimberly,NULL,Williams,NULL,1935-11-16,female,female,she/her,Buddhist,20/40,deaf,able,false,2024-06-14,NULL,784896740,70.96,209.51,"{""Influenza"": ""2004-08-06"", ""Hepatitis B"": ""2016-12-03"", ""Polio"": ""1989-03-15"", ""Tetanus, Diphtheria, Pertussis"": ""1954-12-21"", ""HPV"": ""2013-04-01"", ""COVID-19"": ""1996-04-09"", ""Hepatitis A"": ""2021-07-03"", ""Pneumococcal"": ""1959-07-28""}",{},"{""Adenoidectomy"": ""1958-02-09"", ""Mastectomy"": ""1964-01-07""}","{""Alzheimer's"": [""sister"", ""grandmother"", ""grandfather""], ""Tuberculosis"": [""cousin"", ""brother""]}",2024-04-06 10:37:47.054250-05:00,"{""Michelle Hester"": [9139233611, 4642791764]}",NULL,B-,2552552822,"[""Schizophrenia"", ""Multiple sclerosis"", ""HIV/AIDS""]","Cole, Rice and Smith","064 Lewis Valleys Apt. 825
Andersonport, NE 03943",5305141367
sbartlett@allen.com,43L4EDhp&n,NULL,Sarah,NULL,Bartlett,NULL,1938-06-28,female,female,she/her,Agnostic,20/100,deaf,able,false,2024-06-10,NULL,368666743,60.34,186.62,"{""Influenza"": ""1981-12-07"", ""Polio"": ""2016-12-30"", ""HPV"": ""2014-02-23"", ""Tetanus, Diphtheria, Pertussis"": ""2008-12-25"", ""Pneumococcal"": ""1986-02-16"", ""Zoster"": ""1997-05-02"", ""Measles, Mumps, Rubella"": ""1968-09-12"", ""Varicella"": ""2016-03-22""}","{""Sesame"": [""Hives"", ""Dizziness""], ""Dairy"": [""Vomiting"", ""Rash"", ""Loss of consciousness"", ""Shortness of breath""]}","{""Hip replacement"": ""1997-03-20"", ""Laminectomy"": ""2004-01-05"", ""Tonsillectomy"": ""1979-02-18"", ""Lobectomy"": ""1972-02-06""}","{""Depression"": [""sister"", ""grandmother"", ""uncle""]}",2024-01-03 16:53:22.873948-06:00,"{""Anna Hamilton"": [1823337674, 8206251019], ""Robert Salazar"": [5493649331, 3089342277]}",NULL,AB-,6941387396,"[""Stroke"", ""Ulcerative colitis"", ""Crohn's disease"", ""Bipolar disorder""]","Sandoval, Ward and Russo","PSC 5188, Box 5041
APO AP 46641",2771402248
